type,name,notice,furigana
燃やさないごみ,IHクッキングヒーター(金属),,あ
燃やさないごみ,ＩＣレコーダー(金属),,あ
資源,アイスクリームのカップ容器(容プラ)プラスチック製,プラスチック製 ,あ
燃やすごみ,アイスクリームのカップ容器紙製,紙製 ,あ
燃やすごみ,アイスノン,,あ
燃やさないごみ,アイスピック(埋立),紙で包み「危険」と表示、他のごみと分ける,あ
燃やさないごみ,アイロン(金属),,あ
燃やさないごみ,アイロン台(金属)80％以上金属製,80％以上金属製 ,あ
燃やすごみ,アイロン台金属部分80％未満　70cm以下　足がついてないもの,金属部分80％未満　70cm以下　足がついてないもの ,あ
燃やさないごみ,アイロン台(埋立)金属部分80％未満　70cm以上,金属部分80％未満　70cm以上 ,あ
有料粗大ごみ,アコーディオンカーテン70cm超える,70cm超える ,あ
