abel,sublabel,description,styles,bgcolor
Combustible Garbage Day,,,img/moyasanai02.svg,#733b96
Plastic Container Day,,,img/shigen02.svg,#77ae1f
Waste Paper Day,,,img/moyasu02.svg,#ea3b13
Tin and Can Day,,,img/bin02.svg,#2dc7aa
Bottle Day,,,img/bin02.svg,#2dc7aa
